aX,aY,aZ
-688,-393,599
-687,-440,587
-687,-440,587
-687,-440,587
-687,-440,587
-687,-440,587
-687,-440,587
-679,-470,569
-679,-470,569
-679,-470,569
-679,-470,569
-679,-470,569
-669,-489,576
-669,-489,576
-669,-489,576
-669,-489,576
-669,-489,576
-667,-489,601
-667,-489,601
-667,-489,601
-667,-489,601
-667,-489,601
-667,-489,601
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-673,-446,612
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-656,-442,597
-649,-479,593
-649,-479,593
-649,-479,593
-649,-479,593
-649,-479,593
-649,-479,593
-641,-503,665
-641,-503,665
-641,-503,665
-641,-503,665
-641,-503,665
-641,-503,665
-629,-501,705
-629,-501,705
-629,-501,705
-629,-501,705
-629,-501,705
-629,-501,705
-629,-501,705
-629,-501,705
-629,-501,705
-629,-501,705
-587,-486,729
-587,-486,729
-587,-486,729
-587,-486,729
-587,-486,729
-587,-486,729
-579,-518,713
-579,-518,713
-579,-518,713
-579,-518,713
-579,-518,713
-579,-518,713
-586,-557,694
-586,-557,694
-586,-557,694
-586,-557,694
-586,-557,694
-598,-579,677
-598,-579,677
-598,-579,677
-598,-579,677
-598,-579,677
-598,-579,677
-608,-578,652
-608,-578,652
-608,-578,652
-608,-578,652
-608,-578,652
-608,-578,652
-615,-548,630
-615,-548,630
-615,-548,630
-615,-548,630
-615,-548,630
-617,-522,635
-617,-522,635
-617,-522,635
-617,-522,635
-617,-522,635
-617,-522,635
-616,-502,669
-616,-502,669
-616,-502,669
-616,-502,669
-616,-502,669

-63,-812,1167
-63,-812,1167
-165,-847,1138
-165,-847,1138
-165,-847,1138
-165,-847,1138
-165,-847,1138
-165,-847,1138
-255,-812,1079
-255,-812,1079
-255,-812,1079
-255,-812,1079
-255,-812,1079
-255,-812,1079
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-303,-706,1014
-446,-562,1106
-446,-562,1106
-446,-562,1106
-446,-562,1106
-446,-562,1106
-446,-562,1106
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-392,-527,968
-331,-715,930
-331,-715,930
-331,-715,930
-331,-715,930
-331,-715,930
-331,-715,930
-345,-805,963
-345,-805,963
-345,-805,963
-345,-805,963
-345,-805,963
-345,-805,963
-337,-833,1034
-337,-833,1034
-337,-833,1034
-337,-833,1034
-337,-833,1034
-337,-833,1034
-326,-736,1009
-326,-736,1009
-326,-736,1009
-326,-736,1009
-326,-736,1009
-326,-736,1009
-319,-627,992
-319,-627,992
-319,-627,992
-319,-627,992
-319,-627,992
-319,-627,992
-343,-639,1030
-343,-639,1030
-343,-639,1030
-343,-639,1030
-343,-639,1030
-343,-639,1030
-384,-632,985
-384,-632,985
-384,-632,985
-384,-632,985
-384,-632,985
-384,-632,985
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-396,-607,956
-397,-603,1011
-397,-603,1011
-397,-603,1011
-397,-603,1011
-397,-603,1011
-397,-603,1011
-397,-603,1011
-393,-600,951
-393,-600,951
-393,-600,951
-393,-600,951
-393,-600,951
-395,-550,855
-395,-550,855
-395,-550,855
-395,-550,855
-395,-550,855

-144,-832,1188
-163,-847,1177
-163,-847,1177
-163,-847,1177
-163,-847,1177
-163,-847,1177
-201,-837,1170
-201,-837,1170
-201,-837,1170
-201,-837,1170
-201,-837,1170
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-264,-774,1145
-331,-619,1108
-331,-619,1108
-331,-619,1108
-331,-619,1108
-331,-619,1108
-331,-619,1108
-331,-619,1108
-354,-581,1112
-354,-581,1112
-354,-581,1112
-354,-581,1112
-354,-581,1112
-354,-581,1112
-365,-564,1131
-365,-564,1131
-365,-564,1131
-365,-564,1131
-365,-564,1131
-365,-564,1131
-340,-570,1139
-340,-570,1139
-340,-570,1139
-340,-570,1139
-340,-570,1139
-340,-570,1139
-287,-590,1085
-287,-590,1085
-287,-590,1085
-287,-590,1085
-287,-590,1085
-287,-590,1085
-276,-645,1026
-276,-645,1026
-276,-645,1026
-276,-645,1026
-276,-645,1026
-339,-731,998
-339,-731,998
-339,-731,998
-339,-731,998
-339,-731,998
-339,-731,998
-339,-731,998
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-402,-768,962
-421,-659,784
-421,-659,784
-421,-659,784
-421,-659,784
-421,-659,784
-421,-659,784
-451,-631,811
-451,-631,811
-451,-631,811
-451,-631,811
-451,-631,811
-451,-631,811
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-490,-562,812
-477,-444,742
-477,-444,742
-477,-444,742
-477,-444,742
-477,-444,742
-477,-444,742
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-471,-511,738
-503,-515,678

-170,-931,1252
-202,-854,1228
-202,-854,1228
-202,-854,1228
-202,-854,1228
-202,-854,1228
-202,-854,1228
-253,-803,1155
-253,-803,1155
-253,-803,1155
-253,-803,1155
-253,-803,1155
-253,-803,1155
-314,-766,1076
-314,-766,1076
-314,-766,1076
-314,-766,1076
-314,-766,1076
-314,-766,1076
-369,-739,1032
-369,-739,1032
-369,-739,1032
-369,-739,1032
-369,-739,1032
-369,-739,1032
-389,-717,1028
-389,-717,1028
-389,-717,1028
-389,-717,1028
-389,-717,1028
-389,-717,1028
-364,-686,1007
-364,-686,1007
-364,-686,1007
-364,-686,1007
-364,-686,1007
-364,-686,1007
-315,-710,1017
-315,-710,1017
-315,-710,1017
-315,-710,1017
-315,-710,1017
-315,-710,1017
-294,-741,1001
-294,-741,1001
-294,-741,1001
-294,-741,1001
-294,-741,1001
-273,-788,1031
-273,-788,1031
-273,-788,1031
-273,-788,1031
-273,-788,1031
-284,-827,992
-284,-827,992
-284,-827,992
-284,-827,992
-284,-827,992
-284,-827,992
-326,-819,905
-326,-819,905
-326,-819,905
-326,-819,905
-326,-819,905
-326,-819,905
-387,-821,865
-387,-821,865
-387,-821,865
-387,-821,865
-387,-821,865
-387,-821,865
-445,-776,853
-445,-776,853
-445,-776,853
-445,-776,853
-445,-776,853
-445,-776,853
-454,-713,874
-454,-713,874
-454,-713,874
-454,-713,874
-454,-713,874
-443,-611,801
-443,-611,801
-443,-611,801
-443,-611,801
-443,-611,801
-443,-611,801
-432,-527,705
-432,-527,705
-432,-527,705
-432,-527,705
-432,-527,705
-452,-524,612
-452,-524,612
-452,-524,612
-452,-524,612
-452,-524,612
-452,-524,612
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-500,-516,522
-511,-557,535
-511,-557,535
-511,-557,535
-511,-557,535
-511,-557,535
-518,-450,470
-518,-450,470
-518,-450,470

-103,-1170,1706
-163,-1127,1824
-163,-1127,1824
-163,-1127,1824
-163,-1127,1824
-163,-1127,1824
-178,-994,1772
-178,-994,1772
-178,-994,1772
-178,-994,1772
-178,-994,1772
-178,-994,1772
-146,-1006,1650
-146,-1006,1650
-146,-1006,1650
-146,-1006,1650
-146,-1006,1650
-146,-1006,1650
-188,-1128,1594
-188,-1128,1594
-188,-1128,1594
-188,-1128,1594
-188,-1128,1594
-188,-1128,1594
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-335,-1118,1458
-502,-840,1247
-502,-840,1247
-502,-840,1247
-502,-840,1247
-502,-840,1247
-502,-840,1247
-488,-704,1252
-488,-704,1252
-488,-704,1252
-488,-704,1252
-488,-704,1252
-431,-603,1180
-431,-603,1180
-431,-603,1180
-431,-603,1180
-431,-603,1180
-431,-603,1180
-359,-512,958
-359,-512,958
-359,-512,958
-359,-512,958
-359,-512,958
-359,-512,958
-305,-509,813
-305,-509,813
-305,-509,813
-305,-509,813
-305,-509,813
-305,-509,813
-332,-568,712
-332,-568,712
-332,-568,712
-332,-568,712
-332,-568,712
-362,-595,589
-362,-595,589
-362,-595,589
-362,-595,589
-362,-595,589
-362,-595,589
-363,-565,488
-363,-565,488
-363,-565,488
-363,-565,488
-363,-565,488
-363,-565,488
-370,-461,410
-370,-461,410
-370,-461,410
-370,-461,410
-370,-461,410
-370,-461,410
-372,-383,388
-372,-383,388
-372,-383,388
-372,-383,388
-372,-383,388
-372,-383,388
-386,-345,344
-386,-345,344
-386,-345,344
-386,-345,344
-386,-345,344
-386,-345,344
-390,-309,286
-390,-309,286
-390,-309,286
-390,-309,286
-390,-309,286
-390,-309,286
-401,-258,221
-401,-258,221
-401,-258,221
-401,-258,221
-401,-258,221
-401,-258,221
-430,-202,215
-430,-202,215
-430,-202,215
-430,-202,215
-430,-202,215
-459,-193,221
-459,-193,221
-459,-193,221

-628,-303,263
-628,-303,263
-601,-311,296
-601,-311,296
-601,-311,296
-601,-311,296
-601,-311,296
-601,-311,296
-645,-172,183
-645,-172,183
-645,-172,183
-645,-172,183
-645,-172,183
-645,-172,183
-671,-102,139
-671,-102,139
-671,-102,139
-671,-102,139
-671,-102,139
-695,-148,117
-695,-148,117
-695,-148,117
-695,-148,117
-695,-148,117
-695,-148,117
-716,-209,104
-716,-209,104
-716,-209,104
-716,-209,104
-716,-209,104
-716,-209,104
-731,-265,118
-731,-265,118
-731,-265,118
-731,-265,118
-731,-265,118
-731,-265,118
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-759,-251,141
-783,-176,126
-783,-176,126
-783,-176,126
-783,-176,126
-783,-176,126
-783,-176,126
-791,-122,66
-791,-122,66
-791,-122,66
-791,-122,66
-791,-122,66
-780,-144,88
-780,-144,88
-780,-144,88
-780,-144,88
-780,-144,88
-780,-144,88
-776,-200,140
-776,-200,140
-776,-200,140
-776,-200,140
-776,-200,140
-776,-200,140
-815,-173,151
-815,-173,151
-815,-173,151
-815,-173,151
-815,-173,151
-865,-125,146
-865,-125,146
-865,-125,146
-865,-125,146
-865,-125,146
-865,-125,146
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-896,-127,155
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-923,-217,94
-935,-185,122
-935,-185,122
-935,-185,122
-935,-185,122
-935,-185,122
-935,-185,122
-931,-172,140
-931,-172,140
-931,-172,140
-931,-172,140
-931,-172,140
-931,-172,140
-972,-74,119

-118,-841,1295
-118,-841,1295
-201,-894,1237
-201,-894,1237
-201,-894,1237
-201,-894,1237
-201,-894,1237
-201,-894,1237
-266,-931,1281
-266,-931,1281
-266,-931,1281
-266,-931,1281
-266,-931,1281
-268,-880,1280
-268,-880,1280
-268,-880,1280
-268,-880,1280
-268,-880,1280
-268,-880,1280
-255,-744,1201
-255,-744,1201
-255,-744,1201
-255,-744,1201
-255,-744,1201
-273,-737,1205
-273,-737,1205
-273,-737,1205
-273,-737,1205
-273,-737,1205
-273,-737,1205
-325,-729,1180
-325,-729,1180
-325,-729,1180
-325,-729,1180
-325,-729,1180
-346,-708,1129
-346,-708,1129
-346,-708,1129
-346,-708,1129
-346,-708,1129
-346,-708,1129
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-355,-686,1024
-394,-679,904
-394,-679,904
-394,-679,904
-394,-679,904
-394,-679,904
-394,-679,904
-393,-628,846
-393,-628,846
-393,-628,846
-393,-628,846
-385,-599,814
-385,-599,814
-385,-599,814
-385,-599,814
-385,-599,814
-385,-599,814
-401,-561,724
-401,-561,724
-401,-561,724
-401,-561,724
-401,-561,724
-401,-561,724
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-404,-610,708
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-451,-550,681
-524,-436,460
-524,-436,460
-524,-436,460
-524,-436,460
-524,-436,460
-524,-436,460
-563,-433,451
-563,-433,451
-563,-433,451
-563,-433,451
-563,-433,451
-563,-433,451
-563,-433,451
-566,-364,459

-27,-898,1242
-120,-929,1147
-120,-929,1147
-120,-929,1147
-120,-929,1147
-120,-929,1147
-248,-954,1096
-248,-954,1096
-248,-954,1096
-248,-954,1096
-248,-954,1096
-248,-954,1096
-353,-880,1060
-353,-880,1060
-353,-880,1060
-353,-880,1060
-353,-880,1060
-353,-880,1060
-353,-880,1060
-389,-745,1040
-389,-745,1040
-389,-745,1040
-389,-745,1040
-389,-745,1040
-389,-745,1040
-389,-745,1040
-380,-677,1049
-380,-677,1049
-380,-677,1049
-380,-677,1049
-380,-677,1049
-380,-677,1049
-355,-663,1054
-324,-702,1053
-324,-702,1053
-324,-702,1053
-324,-702,1053
-324,-702,1053
-296,-768,1012
-296,-768,1012
-296,-768,1012
-296,-768,1012
-296,-768,1012
-296,-768,1012
-296,-814,939
-296,-814,939
-296,-814,939
-296,-814,939
-296,-814,939
-296,-814,939
-331,-847,893
-331,-847,893
-331,-847,893
-331,-847,893
-331,-847,893
-331,-847,893
-386,-835,884
-386,-835,884
-386,-835,884
-386,-835,884
-386,-835,884
-386,-835,884
-433,-770,861
-433,-770,861
-433,-770,861
-433,-770,861
-433,-770,861
-433,-770,861
-446,-684,766
-446,-684,766
-446,-684,766
-446,-684,766
-446,-684,766
-446,-684,766
-445,-618,677
-445,-618,677
-445,-618,677
-445,-618,677
-445,-618,677
-457,-617,672
-457,-617,672
-457,-617,672
-457,-617,672
-457,-617,672
-457,-617,672
-457,-617,672
-481,-628,672
-481,-628,672
-481,-628,672
-481,-628,672
-481,-628,672
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-494,-545,636
-459,-425,516
-459,-425,516
-459,-425,516
-459,-425,516
-459,-425,516
-459,-425,516
-479,-459,404
-479,-459,404
-479,-459,404
-479,-459,404
-479,-459,404

-160,-924,1225
-224,-871,1214
-224,-871,1214
-224,-871,1214
-224,-871,1214
-224,-871,1214
-306,-808,1191
-306,-808,1191
-306,-808,1191
-306,-808,1191
-306,-808,1191
-367,-728,1132
-367,-728,1132
-367,-728,1132
-367,-728,1132
-367,-728,1132
-367,-728,1132
-402,-655,1077
-402,-655,1077
-402,-655,1077
-402,-655,1077
-402,-655,1077
-402,-655,1077
-408,-636,1099
-408,-636,1099
-408,-636,1099
-408,-636,1099
-408,-636,1099
-408,-636,1099
-408,-636,1099
-408,-636,1099
-408,-636,1099
-408,-636,1099
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-348,-671,1147
-297,-717,1044
-297,-717,1044
-297,-717,1044
-297,-717,1044
-297,-717,1044
-297,-717,1044
-362,-744,927
-362,-744,927
-362,-744,927
-362,-744,927
-362,-744,927
-362,-744,927
-433,-773,844
-433,-773,844
-433,-773,844
-433,-773,844
-433,-773,844
-433,-773,844
-433,-773,844
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-489,-797,783
-511,-661,669
-511,-661,669
-511,-661,669
-511,-661,669
-511,-661,669
-511,-661,669
-517,-578,619
-517,-578,619
-517,-578,619
-517,-578,619
-517,-578,619
-517,-578,619
-511,-537,637
-511,-537,637
-511,-537,637
-511,-537,637
-511,-537,637
-524,-514,589
-524,-514,589
-524,-514,589
-524,-514,589
-524,-514,589
-524,-514,589
-538,-437,472
-538,-437,472
-538,-437,472
-538,-437,472
-538,-437,472
-538,-437,472
-547,-451,410
-547,-451,410
-547,-451,410
-547,-451,410
-547,-451,410
-547,-451,410
-578,-479,378
-578,-479,378
-578,-479,378
-578,-479,378
-578,-479,378
-590,-476,362
-590,-476,362
-590,-476,362
-590,-476,362
-590,-476,362

-61,-986,1304
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-113,-991,1319
-248,-829,1195
-248,-829,1195
-248,-829,1195
-248,-829,1195
-248,-829,1195
-248,-829,1195
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-305,-786,1173
-353,-723,1160
-353,-723,1160
-353,-723,1160
-353,-723,1160
-353,-723,1160
-353,-723,1160
-321,-677,1088
-321,-677,1088
-321,-677,1088
-321,-677,1088
-321,-677,1088
-321,-677,1088
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-299,-703,1048
-346,-758,914
-346,-758,914
-346,-758,914
-346,-758,914
-346,-758,914
-346,-758,914
-361,-772,838
-361,-772,838
-361,-772,838
-361,-772,838
-361,-772,838
-361,-772,838
-374,-780,782
-374,-780,782
-374,-780,782
-374,-780,782
-374,-780,782
-407,-756,729
-407,-756,729
-407,-756,729
-407,-756,729
-407,-756,729
-446,-732,716
-446,-732,716
-446,-732,716
-446,-732,716
-446,-732,716
-446,-732,716
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-480,-703,684
-505,-579,574
-505,-579,574
-505,-579,574
-505,-579,574
-505,-579,574
-505,-579,574
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-514,-533,517
-537,-454,500
-537,-454,500
-537,-454,500
-537,-454,500
-537,-454,500
-537,-454,500
-539,-473,537
-539,-473,537
-539,-473,537
